"","step","sound2","response","RT"
"1",1,"Ba",0,0.74161912
"2",1,"Da",0,0.83372201
"3",1,"Single",0.1,0.52512049
"4",2,"Ba",0,0.85663723
"5",2,"Da",0.1,0.86619646
"6",2,"Single",0.1,1.08717849
"7",3,"Ba",0,0.75942751
"8",3,"Da",0,1.03850218
"9",3,"Single",0,0.66631348
"10",4,"Ba",0.7,2.44362952
"11",4,"Da",0.6,1.0280284
"12",4,"Single",0.9,0.68058831
"13",5,"Ba",0.8,0.86791191
"14",5,"Da",1,0.79110182
"15",5,"Single",0.9,0.66522926
"16",6,"Ba",0.7,0.58366162
"17",6,"Da",1,1.01830034
"18",6,"Single",1,0.95358447
"19",7,"Ba",0.9,0.93252487
"20",7,"Da",1,0.98443001
"21",7,"Single",1,0.89561428
