"","step","sound2","response","RT"
"1",1,"Sha",0.1,0.87790811
"2",1,"Sa",0.1,1.29185989
"3",1,"Single",0.2,0.47030169964
"4",2,"Sha",0,1.73583854
"5",2,"Sa",0.2,2.0168686
"6",2,"Single",0.3,0.80270037
"7",3,"Sha",0.2,1.01015895
"8",3,"Sa",0.2,1.39113908
"9",3,"Single",0.1,0.611035306
"10",4,"Sha",0.1,1.25177501
"11",4,"Sa",0.6,2.03384661
"12",4,"Single",0.4,0.5818410753
"13",5,"Sha",1,1.44004206
"14",5,"Sa",1,1.66015051
"15",5,"Single",1,0.65894111
"16",6,"Sha",0.9,1.63717435
"17",6,"Sa",0.9,1.6943426
"18",6,"Single",0.8,0.51876243
"19",7,"Sha",1,1.99010163
"20",7,"Sa",1,1.38997402
"21",7,"Single",0.8,0.829646205
