"","step","sound2","response","RT"
"1",1,"Sa",0.4,0.94381548
"2",1,"Sha",0.2,0.69253722
"3",1,"Single",0.3,0.4419215105
"4",2,"Sa",0.3,1.2114649
"5",2,"Sha",0.1,0.4963794942
"6",2,"Single",0.1,0.50037605873
"7",3,"Sa",0.2,0.9372509
"8",3,"Sha",0.6,0.49493721
"9",3,"Single",0.5,0.7268556802
"10",4,"Sa",0.8,0.65289499
"11",4,"Sha",0.7,0.53651238
"12",4,"Single",0.9,0.70153299205
"13",5,"Sa",0.4,1.12404737
"14",5,"Sha",0.6,0.72691278
"15",5,"Single",1,0.92676923
"16",6,"Sa",0.5,0.9574928
"17",6,"Sha",0.4,0.44516731
"18",6,"Single",0.7,0.597500803
"19",7,"Sa",0.8,1.24672881
"20",7,"Sha",0.4,0.68797428
"21",7,"Single",0.9,0.49617509
