"","step","sound2","response","RT"
"1",1,"Sa",0,0.621825958
"2",1,"Sha",0,0.82596782
"3",1,"Single",0.1,0.458367013
"4",2,"Sa",0.2,0.84858741
"5",2,"Sha",0.3,1.04559437
"6",2,"Single",0.1,0.45269015
"7",3,"Sa",0.2,0.93182735
"8",3,"Sha",0,0.8027852
"9",3,"Single",0.3,0.56087634
"10",4,"Sa",0.6,1.169546573
"11",4,"Sha",0.7,0.784768395
"12",4,"Single",0.8,0.74998129
"13",5,"Sa",0.9,1.21930061
"14",5,"Sha",0.7,1.280634441
"15",5,"Single",0.9,0.96586878
"16",6,"Sa",1,0.916049767
"17",6,"Sha",1,0.956166567
"18",6,"Single",0.8,0.8033145
"19",7,"Sa",0.8,0.72799031
"20",7,"Sha",0.9,0.46741198
"21",7,"Single",0.8,0.37578583
