"","step","sound2","response","RT"
"1",1,"Sa",0,0.76357508
"2",1,"Sha",0,0.58156523
"3",1,"Single",0.2,0.75893469
"4",2,"Sa",0.5,0.5437452024
"5",2,"Sha",0,0.71328134
"6",2,"Single",0.1,0.74673628
"7",3,"Sa",0.6,1.011736617
"8",3,"Sha",0.2,1.33205601
"9",3,"Single",0.8,0.84477542
"10",4,"Sa",0.9,1.40700709
"11",4,"Sha",0.5,1.64222121
"12",4,"Single",0.9,0.89784445
"13",5,"Sa",0.9,0.96486349
"14",5,"Sha",1,0.89803362
"15",5,"Single",0.9,0.698300006
"16",6,"Sa",1,0.76725519
"17",6,"Sha",0.9,0.70359588285
"18",6,"Single",1,0.636682656
"19",7,"Sa",1,0.8663499
"20",7,"Sha",0.9,0.5252172785
"21",7,"Single",1,0.78547258064
