"","step","sound2","response","RT"
"1",1,"Da",0.1,0.7154031
"2",1,"Ba",0.1,0.9247402
"3",1,"Single",0,0.42454351
"4",2,"Da",0,0.46702611
"5",2,"Ba",0.1,0.83381167
"6",2,"Single",0.1,0.42727244
"7",3,"Da",0.3,0.97359678
"8",3,"Ba",0.3,1.12735309
"9",3,"Single",0.7,0.42532033
"10",4,"Da",1,0.63070863
"11",4,"Ba",0.8,0.93393012
"12",4,"Single",0.9,0.50434343
"13",5,"Da",0.8,0.52889441
"14",5,"Ba",0.9,0.9448232
"15",5,"Single",1,0.468775633
"16",6,"Da",1,0.54966482
"17",6,"Ba",0.9,0.95503593
"18",6,"Single",1,0.379356333
"19",7,"Da",0.9,0.61071994
"20",7,"Ba",1,0.82904762
"21",7,"Single",1,0.433207502
