"","step","sound2","response","RT"
"1",1,"Sa",0,0.6533014
"2",1,"Sha",0,0.49762706
"3",1,"Single",0,1.03067902
"4",2,"Sa",0,0.49253787
"5",2,"Sha",0,0.49956385
"6",2,"Single",0,0.4664883
"7",3,"Sa",0,0.50616652
"8",3,"Sha",0,0.60115284
"9",3,"Single",0.1,0.48670662
"10",4,"Sa",0.7,0.94297707
"11",4,"Sha",0.7,0.77301026
"12",4,"Single",0.9,0.5059587
"13",5,"Sa",1,0.76122798
"14",5,"Sha",1,0.65993077
"15",5,"Single",1,0.57632413
"16",6,"Sa",1,0.73485276
"17",6,"Sha",1,0.67263941
"18",6,"Single",1,0.42805927
"19",7,"Sa",0.9,0.68757085
"20",7,"Sha",1,0.4999852
"21",7,"Single",0.9,0.45665376626
