"","step","sound2","response","RT"
"1",1,"Ba",0,0.93058368
"2",1,"Da",0,1.01986089
"3",1,"Single",0,0.5082104
"4",2,"Ba",0,0.76861502
"5",2,"Da",0.3,1.05519323723
"6",2,"Single",0,0.78283038
"7",3,"Ba",0.2,0.66349181
"8",3,"Da",0.7,1.17150341
"9",3,"Single",0.7,0.80055339
"10",4,"Ba",0.4,1.38222741
"11",4,"Da",0.9,0.9353543916
"12",4,"Single",0.9,0.86634058
"13",5,"Ba",0.9,0.74909438
"14",5,"Da",1,1.01269559
"15",5,"Single",0.9,0.27068937
"16",6,"Ba",0.9,0.95346454
"17",6,"Da",1,1.58547677
"18",6,"Single",0.9,0.41533762
"19",7,"Ba",0.9,0.85996789
"20",7,"Da",1,0.59337717
"21",7,"Single",0.9,0.46356451
