"","step","sound2","response","RT"
"1",1,"Sha",0.2,0.78085003
"2",1,"Sa",0.2,0.50624532
"3",1,"Single",0.4,1.05065145
"4",2,"Sha",0.2,0.61724702
"5",2,"Sa",0.1,0.48169101
"6",2,"Single",0.5,0.59056350695
"7",3,"Sha",0.2,0.546571
"8",3,"Sa",0.2,0.33944068
"9",3,"Single",0.5,0.58155463
"10",4,"Sha",0.3,0.74681014
"11",4,"Sa",0.6,0.439002345
"12",4,"Single",1,0.82965207
"13",5,"Sha",0.7,0.72514626
"14",5,"Sa",1,0.39768865
"15",5,"Single",0.9,0.789742995
"16",6,"Sha",0.6,1.09022458
"17",6,"Sa",0.9,0.39888577
"18",6,"Single",0.9,0.51063392
"19",7,"Sha",1,0.65117609
"20",7,"Sa",0.9,0.365452333
"21",7,"Single",0.9,0.446946765
