"","step","sound2","response","RT"
"1",1,"Ba",0.5,0.89315312
"2",1,"Da",0.8,1.083327894
"3",1,"Single",0.1,0.86081175314
"4",2,"Ba",0.3,0.98427843081
"5",2,"Da",0.444444444444444,0.62660349526
"6",2,"Single",0.3,0.958967707
"7",3,"Ba",0.1,0.95144602
"8",3,"Da",0.5,1.13885718612
"9",3,"Single",0.2,0.54309066418
"10",4,"Ba",0.1,0.39431655007
"11",4,"Da",0.6,0.7894841873
"12",4,"Single",0.4,0.37581549442
"13",5,"Ba",0.2,0.6881283
"14",5,"Da",0.888888888888889,1.05805016
"15",5,"Single",0.6,1.12981528
"16",6,"Ba",0.2,1.223042506
"17",6,"Da",0.6,0.83006252
"18",6,"Single",0.7,0.476538849
"19",7,"Ba",0.3,0.75387047749
"20",7,"Da",0.7,0.73262753299
"21",7,"Single",0.9,0.66245927
