"","step","sound2","response","RT"
"1",1,"Da",0.3,1.18041552
"2",1,"Ba",0.1,0.80816919
"3",1,"Single",0,0.62859361
"4",2,"Da",0.2,1.31579201
"5",2,"Ba",0.2,0.67157159
"6",2,"Single",0,0.58274024
"7",3,"Da",0.2,1.32847451
"8",3,"Ba",0.1,0.60524611
"9",3,"Single",0,0.70872573
"10",4,"Da",0.9,1.3640345
"11",4,"Ba",0.3,0.6057348
"12",4,"Single",0.1,0.63811881
"13",5,"Da",0.8,1.11387084
"14",5,"Ba",0.3,0.9165076
"15",5,"Single",0.6,0.65856479
"16",6,"Da",0.7,1.14568
"17",6,"Ba",0.3,0.80048102
"18",6,"Single",1,0.557308561
"19",7,"Da",0.9,1.0459536
"20",7,"Ba",0.8,1.07088439
"21",7,"Single",1,0.62350458
