"","step","sound2","response","RT"
"1",1,"Sha",0,0.60367278
"2",1,"Sa",0,0.80154368
"3",1,"Single",0.4,0.31838821323
"4",2,"Sha",0.2,3.61850903
"5",2,"Sa",0.2,1.02801581
"6",2,"Single",0.1,0.26632243638
"7",3,"Sha",0,0.47715406169
"8",3,"Sa",0.1,0.70268112
"9",3,"Single",0.3,0.36569680423
"10",4,"Sha",0.9,0.66932177
"11",4,"Sa",0.8,0.76601001
"12",4,"Single",0.7,0.79629181041
"13",5,"Sha",0.9,0.710073804
"14",5,"Sa",0.9,0.69373328
"15",5,"Single",0.6,1.67925221819
"16",6,"Sha",0.8,0.78300789
"17",6,"Sa",0.7,0.64505569
"18",6,"Single",0.6,0.44254809836
"19",7,"Sha",0.8,1.42069372
"20",7,"Sa",1,4.26241354
"21",7,"Single",0.8,0.21583176113
