"","step","sound2","response","RT"
"1",1,"Ba",0,0.47229942
"2",1,"Da",0,0.62836686
"3",1,"Single",0.1,0.43506583083
"4",2,"Ba",0,0.67790225
"5",2,"Da",0,0.54975185
"6",2,"Single",0.1,0.16240601512
"7",3,"Ba",0,0.53914669
"8",3,"Da",0,0.58629762
"9",3,"Single",0,0.86506295033
"10",4,"Ba",0.2,0.74430982
"11",4,"Da",0,0.62834392
"12",4,"Single",0.5,0.35261123503
"13",5,"Ba",0.6,0.71075249
"14",5,"Da",0.5,0.8956723
"15",5,"Single",0.8,0.61904143783
"16",6,"Ba",0.8,0.51125285
"17",6,"Da",0.9,0.45514852
"18",6,"Single",0.8,0.17856031116
"19",7,"Ba",1,0.49794821
"20",7,"Da",1,0.50190665
"21",7,"Single",1,0.32667554706
