"","step","sound2","response","RT"
"1",1,"Da",0,1.14236963
"2",1,"Ba",0.3,1.03474309
"3",1,"Single",0.1,0.514398079
"4",2,"Da",0,1.6362838
"5",2,"Ba",0.1,0.81940992
"6",2,"Single",0.1,1.10002641
"7",3,"Da",0.1,1.53940009
"8",3,"Ba",0.2,0.90589772
"9",3,"Single",0.4,0.63803729
"10",4,"Da",0.8,1.03300534
"11",4,"Ba",0.8,1.15353579
"12",4,"Single",0.8,0.81028693
"13",5,"Da",1,1.17972439
"14",5,"Ba",0.8,1.14127506
"15",5,"Single",0.9,0.90846123
"16",6,"Da",1,1.27045309
"17",6,"Ba",1,1.21164166
"18",6,"Single",0.9,0.659322803
"19",7,"Da",1,0.92051011
"20",7,"Ba",0.7,0.90304382
"21",7,"Single",1,0.86803616612
