"","step","sound2","response","RT"
"1",1,"Da",0.1,2.08184808
"2",1,"Ba",0,0.99830456
"3",1,"Single",0,0.65327574
"4",2,"Da",0.2,1.55462791
"5",2,"Ba",0,1.22629798
"6",2,"Single",0.1,0.52848839
"7",3,"Da",0.2,2.12054378
"8",3,"Ba",0,1.02797262
"9",3,"Single",0,0.73150106
"10",4,"Da",0.5,1.72586862
"11",4,"Ba",0.4,1.46496617
"12",4,"Single",0.5,0.96900181
"13",5,"Da",0.9,1.47531207
"14",5,"Ba",0.8,1.5304613
"15",5,"Single",0.8,0.83000205
"16",6,"Da",0.9,1.2872599
"17",6,"Ba",0.8,1.02870259
"18",6,"Single",0.9,0.88972548
"19",7,"Da",1,0.99978499
"20",7,"Ba",0.9,1.03097986
"21",7,"Single",1,0.458661486
