"","step","sound2","response","RT"
"1",1,"Ba",0.2,0.35265769
"2",1,"Da",0,0.35417224
"3",1,"Single",0,0.334472413
"4",2,"Ba",0,0.56522061
"5",2,"Da",0.1,0.328260527
"6",2,"Single",0,0.63283029
"7",3,"Ba",0,0.41055218
"8",3,"Da",0.1,0.763812539
"9",3,"Single",0.1,0.1954169695
"10",4,"Ba",0.4,0.96055016
"11",4,"Da",0.2,0.44804765
"12",4,"Single",0.8,0.30934008159
"13",5,"Ba",0.8,0.7758655
"14",5,"Da",1,0.55225099
"15",5,"Single",0.8,0.5724777971
"16",6,"Ba",0.9,0.4769773
"17",6,"Da",0.9,0.41676196
"18",6,"Single",1,0.41777895
"19",7,"Ba",0.8,0.49474643
"20",7,"Da",0.9,0.67121486
"21",7,"Single",0.9,0.30352044007
