"","step","sound2","response","RT"
"1",1,"Sha",0,1.14086058
"2",1,"Sa",0.1,1.06370911
"3",1,"Single",0,0.58009542
"4",2,"Sha",0,0.4256934
"5",2,"Sa",0.2,1.22722719
"6",2,"Single",0.1,0.86592951
"7",3,"Sha",0.3,1.60139648
"8",3,"Sa",0.6,1.21030167
"9",3,"Single",0.7,0.76770917
"10",4,"Sha",1,1.62899081
"11",4,"Sa",1,0.94887113
"12",4,"Single",1,1.37169972
"13",5,"Sha",0.9,0.8616724
"14",5,"Sa",0.9,1.13557514
"15",5,"Single",0.9,0.84172532
"16",6,"Sha",1,1.07093341
"17",6,"Sa",1,0.96126672
"18",6,"Single",0.9,1.41568201
"19",7,"Sha",1,1.0440877
"20",7,"Sa",0.9,0.86206328
"21",7,"Single",0.8,0.94041311
