"","step","sound2","response","RT"
"1",1,"Da",0,0.48352392
"2",1,"Ba",0,0.56149011
"3",1,"Single",0,0.299601655
"4",2,"Da",0,0.51640854
"5",2,"Ba",0.1,0.4062345
"6",2,"Single",0,0.247640595
"7",3,"Da",0,0.51073347
"8",3,"Ba",0.1,0.48440696
"9",3,"Single",0.1,0.32735831
"10",4,"Da",0.6,0.55875967
"11",4,"Ba",0.5,0.63128633
"12",4,"Single",0.7,0.38649504359
"13",5,"Da",0.8,0.55341465
"14",5,"Ba",0.9,0.68398786
"15",5,"Single",1,0.5536247
"16",6,"Da",0.7,0.56174686
"17",6,"Ba",0.8,0.58083658
"18",6,"Single",0.9,0.36857186
"19",7,"Da",0.9,0.43708815
"20",7,"Ba",0.8,0.42839141
"21",7,"Single",1,0.4439578
