"","step","sound2","response","RT"
"1",1,"Ba",0.3,1.3515537
"2",1,"Da",0.8,1.47239741
"3",1,"Single",0.1,0.97738835
"4",2,"Ba",0.4,2.22617611
"5",2,"Da",0.5,1.5851232
"6",2,"Single",0.2,0.68179938594
"7",3,"Ba",0.4,2.55255082
"8",3,"Da",0.5,1.15214911
"9",3,"Single",0.3,0.921434118
"10",4,"Ba",0.4,2.01044063
"11",4,"Da",0.3,1.41664379
"12",4,"Single",0.6,0.9149723
"13",5,"Ba",0.7,1.2980339
"14",5,"Da",0.7,0.49735191
"15",5,"Single",0.7,1.29876529872
"16",6,"Ba",0.7,1.35908299
"17",6,"Da",0.7,1.13909849
"18",6,"Single",1,0.82848072829
"19",7,"Ba",0.4,2.43954229
"20",7,"Da",0.6,1.54130566
"21",7,"Single",1,0.81542660013
