"","step","sound2","response","RT"
"1",1,"Da",0.1,0.34763628
"2",1,"Ba",0,0.271759528
"3",1,"Single",0,0.162700919
"4",2,"Da",0,0.388168
"5",2,"Ba",0,0.165758545
"6",2,"Single",0.1,0.137461657
"7",3,"Da",0,0.56087533
"8",3,"Ba",0.1,0.247494683
"9",3,"Single",0.1,0.194398409
"10",4,"Da",0.2,0.43682354
"11",4,"Ba",0.4,0.46197198
"12",4,"Single",0.9,0.3631102
"13",5,"Da",0.8,0.4421533
"14",5,"Ba",0.8,0.50841541
"15",5,"Single",0.9,0.261961685
"16",6,"Da",0.9,0.4365321
"17",6,"Ba",0.9,0.443528552
"18",6,"Single",0.9,0.245977397
"19",7,"Da",1,0.38820429
"20",7,"Ba",1,0.449049037
"21",7,"Single",0.9,0.154921828
