"","step","sound2","response","RT"
"1",1,"Da",0,0.57841713
"2",1,"Ba",0,1.04523406
"3",1,"Single",0.1,0.791060777
"4",2,"Da",0,0.780734701
"5",2,"Ba",0.1,0.75260541
"6",2,"Single",0.1,0.8124268
"7",3,"Da",0.1,0.64156978
"8",3,"Ba",0.1,0.640211807
"9",3,"Single",0.1,0.671362631
"10",4,"Da",0.2,1.56579137
"11",4,"Ba",0,0.96070981
"12",4,"Single",0,0.82078734
"13",5,"Da",0.1,1.13622709
"14",5,"Ba",0.7,1.36319473
"15",5,"Single",0.5,0.89260173
"16",6,"Da",1,1.0455929
"17",6,"Ba",0.9,1.136357003
"18",6,"Single",0.8,0.828427808
"19",7,"Da",0.9,0.67443198
"20",7,"Ba",1,0.452794406
"21",7,"Single",0.8,0.7624281
