"","step","sound2","response","RT"
"1",1,"Da",0.2,1.11668256
"2",1,"Ba",0.1,0.59990844
"3",1,"Single",0,0.83030667
"4",2,"Da",0.2,0.96008823
"5",2,"Ba",0,0.57403448
"6",2,"Single",0.1,1.054158288
"7",3,"Da",0,1.16091568
"8",3,"Ba",0.2,0.91820264
"9",3,"Single",0.3,0.94538910515
"10",4,"Da",0.5,0.90549438
"11",4,"Ba",0.4,0.715913376
"12",4,"Single",0.7,0.56085490477
"13",5,"Da",0.9,1.04530033
"14",5,"Ba",0.2,1.13319518
"15",5,"Single",0.6,0.742538523
"16",6,"Da",0.7,1.19950161
"17",6,"Ba",0.7,0.79795862
"18",6,"Single",1,0.375676029
"19",7,"Da",1,0.73728231
"20",7,"Ba",0.6,0.78990339
"21",7,"Single",1,0.75499104
