"","step","sound2","response","RT"
"1",1,"Sha",0.1,1.24563299
"2",1,"Sa",0.2,0.87389372
"3",1,"Single",0.1,1.05924775
"4",2,"Sha",0.1,1.35201762508
"5",2,"Sa",0.1,0.940283141
"6",2,"Single",0.1,1.2666744962
"7",3,"Sha",0,0.99292956
"8",3,"Sa",0.1,1.20443555
"9",3,"Single",0.1,0.70003794
"10",4,"Sha",0.1,0.88724731
"11",4,"Sa",0.6,0.51577352803
"12",4,"Single",0.8,0.8584061
"13",5,"Sha",0.7,1.06642128
"14",5,"Sa",0.9,0.73228941
"15",5,"Single",1,0.62371985
"16",6,"Sha",0.5,1.25154143
"17",6,"Sa",0.9,0.73531713124
"18",6,"Single",0.9,0.59808159
"19",7,"Sha",0.9,1.0710468
"20",7,"Sa",0.9,0.98803793
"21",7,"Single",0.9,1.12080729
