"","step","sound2","response","RT"
"1",1,"Sa",0.6,0.84032771
"2",1,"Sha",0.3,0.79728387
"3",1,"Single",0.2,0.57207155
"4",2,"Sa",0.9,0.74205157092
"5",2,"Sha",0.1,0.47557459
"6",2,"Single",0.4,0.39139178
"7",3,"Sa",0.7,0.53020149
"8",3,"Sha",0.3,0.50322242
"9",3,"Single",0.4,0.60968824
"10",4,"Sa",0.6,0.89407889
"11",4,"Sha",0.8,0.71519067
"12",4,"Single",0.9,0.34741705
"13",5,"Sa",0.8,0.60227041
"14",5,"Sha",0.8,0.5003711
"15",5,"Single",0.8,0.60254405
"16",6,"Sa",0.6,1.1716041
"17",6,"Sha",0.9,0.6591957
"18",6,"Single",0.8,0.386098506
"19",7,"Sa",1,0.34888149675
"20",7,"Sha",0.9,0.41673618
"21",7,"Single",0.9,0.33465135
