"","step","sound2","response","RT"
"1",1,"Sha",0.5,2.01096412
"2",1,"Sa",0.6,1.9765228
"3",1,"Single",0.6,0.66991070754
"4",2,"Sha",0.5,1.30811905
"5",2,"Sa",0.4,1.38459077
"6",2,"Single",0.5,0.73345962667
"7",3,"Sha",0.5,1.41513382
"8",3,"Sa",0.6,0.76939900514
"9",3,"Single",0.3,1.45234491
"10",4,"Sha",0.6,2.13092544
"11",4,"Sa",0.5,0.8426060157
"12",4,"Single",0.3,2.32574619
"13",5,"Sha",0.6,2.48877838
"14",5,"Sa",0.5,0.82321527781
"15",5,"Single",0.7,1.25268696
"16",6,"Sha",0.7,1.86972869
"17",6,"Sa",0.666666666666667,1.63779262
"18",6,"Single",0.4,0.97726662199
"19",7,"Sha",0.6,1.85494939
"20",7,"Sa",0.5,1.78330551
"21",7,"Single",0.3,0.78737891
