"","step","sound2","response","RT"
"1",1,"Sa",0.2,0.63124882
"2",1,"Sha",0.1,0.72080117
"3",1,"Single",0,0.226218987
"4",2,"Sa",0,0.51562114
"5",2,"Sha",0,0.55885494
"6",2,"Single",0.1,0.21960720661
"7",3,"Sa",0,0.57619828
"8",3,"Sha",0.1,0.45062043
"9",3,"Single",0.1,0.43418454
"10",4,"Sa",0.4,0.68783171
"11",4,"Sha",0.9,0.43792232
"12",4,"Single",0.8,0.48996334
"13",5,"Sa",0.9,0.64089864
"14",5,"Sha",1,0.42773614
"15",5,"Single",1,0.527638418
"16",6,"Sa",0.9,0.76592059
"17",6,"Sha",1,0.47795043
"18",6,"Single",1,0.381268325
"19",7,"Sa",1,0.50251996
"20",7,"Sha",0.9,0.445684269
"21",7,"Single",1,0.253032083
