"","step","sound2","response","RT"
"1",1,"Sha",0,1.2248111
"2",1,"Sa",0.5,0.70018725
"3",1,"Single",0.1,0.62582676338
"4",2,"Sha",0.1,1.03864073
"5",2,"Sa",0.3,0.53298555
"6",2,"Single",0.2,0.77202017
"7",3,"Sha",0.2,1.18852075
"8",3,"Sa",0.2,0.60980302
"9",3,"Single",0.2,0.59358657945
"10",4,"Sha",0.3,1.27928151
"11",4,"Sa",0.8,0.54503788
"12",4,"Single",0.5,0.761820269
"13",5,"Sha",0.7,0.85876786
"14",5,"Sa",0.9,0.57927295
"15",5,"Single",0.9,0.617825912
"16",6,"Sha",0.5,1.14336965
"17",6,"Sa",0.8,0.43264322
"18",6,"Single",0.9,0.56357745077
"19",7,"Sha",0.7,0.7707603
"20",7,"Sa",0.5,0.67047321984
"21",7,"Single",0.7,0.9247982
