"","step","sound2","response","RT"
"1",1,"Sa",0.1,1.2695858
"2",1,"Sha",0.3,1.5534511
"3",1,"Single",0,0.57964836
"4",2,"Sa",0.1,1.12383661
"5",2,"Sha",0.1,0.7665874
"6",2,"Single",0.3,0.94181376
"7",3,"Sa",0.9,0.82293045
"8",3,"Sha",0.7,1.16820049
"9",3,"Single",0.4,0.8543050152
"10",4,"Sa",1,1.20018029
"11",4,"Sha",0.9,1.18827303
"12",4,"Single",0.9,0.83080755
"13",5,"Sa",1,1.3817941
"14",5,"Sha",1,0.93996139
"15",5,"Single",0.7,0.63729003
"16",6,"Sa",1,19.08122685
"17",6,"Sha",1,1.20515591
"18",6,"Single",0.9,0.64938969
"19",7,"Sa",1,0.9784406
"20",7,"Sha",1,1.16481423
"21",7,"Single",0.9,0.6453318
