"","step","sound2","response","RT"
"1",1,"Sha",0,0.94702318
"2",1,"Sa",0.2,1.11442939
"3",1,"Single",0.2,0.54080678
"4",2,"Sha",0,0.64570431
"5",2,"Sa",0.2,0.76839996
"6",2,"Single",0.1,0.25294912
"7",3,"Sha",0.1,1.08513042
"8",3,"Sa",0.2,1.2674885
"9",3,"Single",0.2,0.26588587915
"10",4,"Sha",0.5,1.36731543
"11",4,"Sa",0.5,1.10553944
"12",4,"Single",0.7,0.79254754237
"13",5,"Sha",0.9,0.79680185
"14",5,"Sa",0.7,0.49265456
"15",5,"Single",0.9,0.588037405
"16",6,"Sha",0.8,1.11517733
"17",6,"Sa",1,0.53937164
"18",6,"Single",0.8,0.89634674476
"19",7,"Sha",1,1.99415102
"20",7,"Sa",0.8,1.415446201
"21",7,"Single",0.7,0.469649738
