"","step","sound2","response","RT"
"1",1,"Ba",0,0.83642471
"2",1,"Da",0,1.34765519
"3",1,"Single",0,1.145005396
"4",2,"Ba",0,0.67738429
"5",2,"Da",0.1,1.11908463
"6",2,"Single",0,0.422889256
"7",3,"Ba",0,1.07579403
"8",3,"Da",0.2,1.78862351
"9",3,"Single",0.1,0.49659161
"10",4,"Ba",0.7,2.05318097
"11",4,"Da",0.8,0.87402831
"12",4,"Single",1,0.48401364
"13",5,"Ba",0.8,1.32353268
"14",5,"Da",1,2.16992729
"15",5,"Single",1,0.89496668
"16",6,"Ba",1,1.99730333
"17",6,"Da",0.9,1.26533824
"18",6,"Single",1,0.5737049
"19",7,"Ba",0.9,0.91616927
"20",7,"Da",0.9,1.39433862
"21",7,"Single",0.9,0.254519457
