"","step","sound2","response","RT"
"1",1,"Sha",0,0.576678626
"2",1,"Sa",0.2,1.22077824
"3",1,"Single",0,0.5368129859
"4",2,"Sha",0,0.65206153
"5",2,"Sa",0.1,0.98060008
"6",2,"Single",0,0.76585817
"7",3,"Sha",0.1,0.68600767
"8",3,"Sa",0.2,1.99368451
"9",3,"Single",0.4,0.90582101
"10",4,"Sha",0.9,1.04200846
"11",4,"Sa",0.9,0.8861249
"12",4,"Single",1,0.69888198
"13",5,"Sha",1,0.8375267
"14",5,"Sa",1,1.15982412
"15",5,"Single",1,0.56430199
"16",6,"Sha",1,1.0199284
"17",6,"Sa",0.9,1.11738199
"18",6,"Single",1,0.8538861
"19",7,"Sha",0.9,0.98602015
"20",7,"Sa",0.8,1.01410193
"21",7,"Single",1,0.67598752
