"","step","sound2","response","RT"
"1",1,"Sa",0.1,0.92748807
"2",1,"Sha",0,0.81855228
"3",1,"Single",0,0.83823498
"4",2,"Sa",0,1.57235287
"5",2,"Sha",0.1,0.99134863
"6",2,"Single",0.1,0.52111381
"7",3,"Sa",0.2,1.55950302
"8",3,"Sha",0.1,1.3933946
"9",3,"Single",0.1,0.62357874
"10",4,"Sa",0.8,2.01109629
"11",4,"Sha",0.9,1.62616107
"12",4,"Single",1,0.81406532
"13",5,"Sa",1,1.31163744
"14",5,"Sha",1,1.48914331
"15",5,"Single",0.9,0.81024889
"16",6,"Sa",1,1.199897
"17",6,"Sha",1,1.3105197
"18",6,"Single",0.9,0.73507708
"19",7,"Sa",0.9,1.30574929
"20",7,"Sha",1,1.55157081
"21",7,"Single",1,0.48356943
