"","step","sound2","response","RT"
"1",1,"Da",0.8,0.47102740111
"2",1,"Ba",0.5,0.44769596235
"3",1,"Single",0.2,0.4057031
"4",2,"Da",0.6,1.02934089
"5",2,"Ba",0.4,0.61456617582
"6",2,"Single",0.4,0.456318919
"7",3,"Da",0.5,1.29259618
"8",3,"Ba",0.3,0.53257157
"9",3,"Single",0.5,0.59073974
"10",4,"Da",0.5,0.69981822033
"11",4,"Ba",0.4,0.70391942539
"12",4,"Single",0.6,0.44406086
"13",5,"Da",0.4,0.66887814
"14",5,"Ba",0.6,1.71619721
"15",5,"Single",0.7,1.11188702
"16",6,"Da",0.5,0.74766472
"17",6,"Ba",0.5,0.4666191
"18",6,"Single",0.6,0.56113276
"19",7,"Da",0.4,0.66167972
"20",7,"Ba",0.8,0.60076273329
"21",7,"Single",0.7,0.6845035817
