"","step","sound2","response","RT"
"1",1,"Sha",0.1,0.83960676
"2",1,"Sa",0.1,0.67209873193
"3",1,"Single",0.5,0.72845460452
"4",2,"Sha",0,0.73549281
"5",2,"Sa",0.4,0.748983479
"6",2,"Single",0.2,0.49391703102
"7",3,"Sha",0.3,1.32898541
"8",3,"Sa",0.4,1.3053533
"9",3,"Single",0.6,0.979625838
"10",4,"Sha",0.5,0.88855286
"11",4,"Sa",0.8,0.43528344334
"12",4,"Single",0.3,1.134581983
"13",5,"Sha",0.5,0.83716542
"14",5,"Sa",0.4,0.9143194
"15",5,"Single",0.8,0.718963
"16",6,"Sha",0.5,0.71350638157
"17",6,"Sa",0.7,0.85967209
"18",6,"Single",0.4,0.38060686146
"19",7,"Sha",0.7,0.737233978
"20",7,"Sa",0.5,0.721710408
"21",7,"Single",0.7,0.801107494
