"","step","sound2","response","RT"
"1",1,"Da",0.4,0.70613436
"2",1,"Ba",0.4,0.7094701
"3",1,"Single",0.5,0.42790379
"4",2,"Da",0.4,0.5797476
"5",2,"Ba",0.4,0.50921645
"6",2,"Single",0.4,0.66623573
"7",3,"Da",0.4,0.54237885
"8",3,"Ba",0.7,0.54444959
"9",3,"Single",0.8,0.43925517
"10",4,"Da",0.6,0.6147973
"11",4,"Ba",0.3,0.47953097
"12",4,"Single",0.6,0.3664248
"13",5,"Da",0.6,0.56194176
"14",5,"Ba",0.4,0.37956749716
"15",5,"Single",0.3,0.61284695
"16",6,"Da",0.4,0.57071102
"17",6,"Ba",0.5,0.471779795
"18",6,"Single",0.5,0.46606394
"19",7,"Da",0.7,0.70378202
"20",7,"Ba",0.7,0.46529937
"21",7,"Single",0.6,0.5087763
