"","step","sound2","response","RT"
"1",1,"Sa",0.4,0.489178422
"2",1,"Single",1,0.37995762677
"3",1,NA,0.7,0.33794847392
"4",2,"Sa",0.3,0.65894109597
"5",2,"Single",1,0.58888969989
"6",2,NA,0.2,0.19918447931
"7",3,"Sa",0.3,0.32312817414
"8",3,"Single",1,0.38360759712
"9",3,NA,0.5,0.325733969
"10",4,"Sa",0.5,0.30931860417
"11",4,"Single",1,0.32387210897
"12",4,NA,0.8,0.33973240504
"13",5,"Sa",0.7,0.25768482722
"14",5,"Single",1,0.30988543
"15",5,NA,0.6,0.287182009
"16",6,"Sa",0.4,0.43300931961
"17",6,"Single",1,0.39326028997
"18",6,NA,0.8,0.20469884639
"19",7,"Sa",0.9,0.34905513404
"20",7,"Single",1,0.25411280226
"21",7,NA,0.7,0.20406786268
