"","step","sound2","response","RT"
"1",1,"Ba",0,1.39915591
"2",1,"Da",0,0.7415708
"3",1,"Single",0.1,0.81201512
"4",2,"Ba",0.1,2.03441945
"5",2,"Da",0,1.08774809
"6",2,"Single",0.1,0.511783501
"7",3,"Ba",0,1.27145381
"8",3,"Da",0.1,0.9433725
"9",3,"Single",0,0.74975593
"10",4,"Ba",0.6,2.02420239
"11",4,"Da",0.5,0.806341904
"12",4,"Single",0.6,0.75881592
"13",5,"Ba",0.9,1.43188721
"14",5,"Da",0.6,0.6468308
"15",5,"Single",0.9,0.81504137827
"16",6,"Ba",0.6,1.30379682
"17",6,"Da",1,0.62643098
"18",6,"Single",0.9,0.8032569
"19",7,"Ba",0.8,1.15974929
"20",7,"Da",0.7,0.72670167
"21",7,"Single",1,0.474811761
