"","step","sound2","response","RT"
"1",1,"Sha",0,0.68948106
"2",1,"Sa",0,0.66061947
"3",1,"Single",0.6,0.73990194
"4",2,"Sha",0,0.89990765
"5",2,"Sa",0.1,0.71740143
"6",2,"Single",0.3,0.559459875
"7",3,"Sha",0.2,0.99108241
"8",3,"Sa",0,1.12314942
"9",3,"Single",0.3,0.573316869
"10",4,"Sha",0.8,0.92597808
"11",4,"Sa",0.9,0.64598197
"12",4,"Single",0.5,0.62789776
"13",5,"Sha",0.8,0.61421778
"14",5,"Sa",1,0.63564891
"15",5,"Single",0.6,0.45944582
"16",6,"Sha",0.9,0.89295381
"17",6,"Sa",0.9,0.62611716
"18",6,"Single",0.5,0.42504111655
"19",7,"Sha",1,0.58267861
"20",7,"Sa",1,0.69767678
"21",7,"Single",0.5,0.533222692
