"","step","sound2","response","RT"
"1",1,"Ba",0.2,1.21198231
"2",1,"Da",0.1,0.495184
"3",1,"Single",0,0.61231861
"4",2,"Ba",0,0.86208001
"5",2,"Da",0.2,0.47242978
"6",2,"Single",0,0.6608439
"7",3,"Ba",0.1,1.29779477
"8",3,"Da",0.2,0.53800527
"9",3,"Single",0,0.5005305
"10",4,"Ba",0.3,1.34013028
"11",4,"Da",0.1,0.59734579
"12",4,"Single",0.1,0.39897059
"13",5,"Ba",0.6,1.9134018
"14",5,"Da",0.7,0.51086723
"15",5,"Single",0.9,0.38691363
"16",6,"Ba",0.9,1.13747788
"17",6,"Da",0.9,0.7303538
"18",6,"Single",1,0.34616545
"19",7,"Ba",0.9,1.8855364
"20",7,"Da",0.8,0.71162247
"21",7,"Single",1,0.4834154
