"","step","sound2","response","RT"
"1",1,"Sha",0,0.40314035
"2",1,"Sa",0.1,0.59179781
"3",1,"Single",0,0.36558166
"4",2,"Sha",0,0.45317372
"5",2,"Sa",0,0.32267179
"6",2,"Single",0.1,0.57635293
"7",3,"Sha",0,0.48712515
"8",3,"Sa",0.2,0.60340681
"9",3,"Single",0.1,0.462363156
"10",4,"Sha",0.9,0.48432481
"11",4,"Sa",1,0.45402484
"12",4,"Single",1,0.55541978
"13",5,"Sha",1,0.39298857
"14",5,"Sa",1,0.39701698
"15",5,"Single",1,0.41911327
"16",6,"Sha",1,0.43384705
"17",6,"Sa",1,0.44137302
"18",6,"Single",0.9,0.29171906398
"19",7,"Sha",1,0.49389525
"20",7,"Sa",1,0.186956102
"21",7,"Single",1,0.327714653
