"","step","sound2","response","RT"
"1",1,"Sha",0.1,1.16871371
"2",1,"Sa",0,0.79233896
"3",1,"Single",0,0.50288688
"4",2,"Sha",0,1.0701881
"5",2,"Sa",0.1,1.0613625
"6",2,"Single",0,0.32785702
"7",3,"Sha",0.2,0.79534415
"8",3,"Sa",0.4,0.50222978
"9",3,"Single",0.2,0.615815917
"10",4,"Sha",0.7,1.52653074
"11",4,"Sa",0.8,0.7110021
"12",4,"Single",1,0.564076344
"13",5,"Sha",1,1.39831061
"14",5,"Sa",0.9,0.72636259
"15",5,"Single",1,0.43235096
"16",6,"Sha",1,0.97730938
"17",6,"Sa",1,0.52118724
"18",6,"Single",1,0.38740271
"19",7,"Sha",1,0.83858393
"20",7,"Sa",1,0.55711148
"21",7,"Single",0.8,0.25359300647
