"","step","sound2","response","RT"
"1",1,"Sha",0,0.6554074
"2",1,"Sa",0.1,1.286294743
"3",1,"Single",0,0.337605455
"4",2,"Sha",0,1.4392254
"5",2,"Sa",0.1,0.37285929
"6",2,"Single",0,0.46857692
"7",3,"Sha",0,0.73492326
"8",3,"Sa",0.2,0.817971071
"9",3,"Single",0.3,1.00799643
"10",4,"Sha",0.9,0.54157511
"11",4,"Sa",1,0.77856514
"12",4,"Single",0.9,0.76668291
"13",5,"Sha",1,0.64180652
"14",5,"Sa",1,0.62150531
"15",5,"Single",1,0.5298561
"16",6,"Sha",1,0.832294779
"17",6,"Sa",1,0.53288705
"18",6,"Single",1,0.43454728
"19",7,"Sha",1,0.81950561
"20",7,"Sa",1,0.66384737
"21",7,"Single",0.8,0.86067652
