"","step","sound2","response","RT"
"1",1,"Da",0,0.68541355
"2",1,"Ba",0.2,0.47322030708
"3",1,"Single",0.1,0.394238903
"4",2,"Da",0,0.4594361
"5",2,"Ba",0.2,0.47040696
"6",2,"Single",0.1,0.34413833
"7",3,"Da",0.3,0.72019351
"8",3,"Ba",0.2,0.34278343199
"9",3,"Single",0.4,0.56388746
"10",4,"Da",0.7,0.84808156
"11",4,"Ba",0.8,0.64225639
"12",4,"Single",0.8,0.50631219
"13",5,"Da",0.8,0.65780062
"14",5,"Ba",1,0.49159
"15",5,"Single",1,0.6852333
"16",6,"Da",1,0.61754768
"17",6,"Ba",0.7,0.57215935
"18",6,"Single",0.9,1.15939101
"19",7,"Da",1,0.55189132
"20",7,"Ba",0.9,0.75532524
"21",7,"Single",1,0.45698102
