"","step","sound2","response","RT"
"1",1,"Sa",0,0.50422641
"2",1,"Sha",0,0.45801533
"3",1,"Single",0,0.58630711
"4",2,"Sa",0.1,0.36441863
"5",2,"Sha",0.1,0.71270106
"6",2,"Single",0,0.54150333
"7",3,"Sa",0,0.4198817
"8",3,"Sha",0.1,0.55008972
"9",3,"Single",0.1,0.75442544478
"10",4,"Sa",0.3,0.61691038
"11",4,"Sha",0.1,0.58795194
"12",4,"Single",0.4,0.82787075
"13",5,"Sa",0.9,0.75185386
"14",5,"Sha",1,0.573756082
"15",5,"Single",1,0.592212323
"16",6,"Sa",0.9,0.725637074
"17",6,"Sha",0.8,0.65844758
"18",6,"Single",1,0.5562342
"19",7,"Sa",1,0.439160382
"20",7,"Sha",0.8,0.621243
"21",7,"Single",0.9,0.64016355
