"","step","sound2","response","RT"
"1",1,"Sha",0.3,0.7905108723
"2",1,"Sa",0.5,0.88928117
"3",1,"Single",0.5,0.95148238
"4",2,"Sha",0.6,1.02813178264
"5",2,"Sa",0.7,0.85437212
"6",2,"Single",0.5,0.66843072455
"7",3,"Sha",0.5,0.36415552238
"8",3,"Sa",0.6,0.8312279
"9",3,"Single",0.8,0.94516679
"10",4,"Sha",0.2,0.52221368053
"11",4,"Sa",0.8,0.853589975
"12",4,"Single",0.6,0.946181146
"13",5,"Sha",0.8,0.53993453415
"14",5,"Sa",0.8,0.64706159
"15",5,"Single",0.5,0.78379332
"16",6,"Sha",0.4,0.35150711726
"17",6,"Sa",0.6,0.532133871
"18",6,"Single",0.6,0.73549505
"19",7,"Sha",0.3,0.26889657912
"20",7,"Sa",0.9,0.77928318
"21",7,"Single",0.5,0.679783647
