"","step","sound2","response","RT"
"1",1,"Sa",0.4,0.362519296
"2",1,"Sha",0.4,0.385191442
"3",1,"Single",0,0.35937978
"4",2,"Sa",0.3,0.44965523
"5",2,"Sha",0.5,0.452691481
"6",2,"Single",0,0.37401881
"7",3,"Sa",0.5,0.40644247464
"8",3,"Sha",0.4,0.35056235
"9",3,"Single",0.2,0.82666457697
"10",4,"Sa",0.4,0.70735247
"11",4,"Sha",0.6,0.52151968
"12",4,"Single",0.9,0.69958049
"13",5,"Sa",0.6,0.38911729
"14",5,"Sha",0.6,0.5204835
"15",5,"Single",0.9,0.90476661273
"16",6,"Sa",0.8,0.35944066
"17",6,"Sha",0.6,0.41411297
"18",6,"Single",1,0.65553300273
"19",7,"Sa",0.8,0.87910564
"20",7,"Sha",0.7,0.427970839
"21",7,"Single",0.9,0.784136636
