"","step","sound2","response","RT"
"1",1,"Sa",0.1,0.56631389
"2",1,"Sha",0.3,1.03966048
"3",1,"Single",0.1,0.58506214
"4",2,"Sa",0.3,0.64766213
"5",2,"Sha",0.2,0.89736651
"6",2,"Single",0.1,0.63620971
"7",3,"Sa",0.4,0.4591309481
"8",3,"Sha",0.5,1.26851459
"9",3,"Single",0.5,0.9468638
"10",4,"Sa",1,0.77710012
"11",4,"Sha",0.4,0.96687381
"12",4,"Single",0.8,0.62810415
"13",5,"Sa",1,0.62308987
"14",5,"Sha",0.7,0.99481059
"15",5,"Single",1,0.92215491
"16",6,"Sa",0.9,0.61130175
"17",6,"Sha",0.5,0.65100638
"18",6,"Single",1,0.69938382
"19",7,"Sa",1,0.57593967
"20",7,"Sha",0.8,0.82972902
"21",7,"Single",0.9,0.39241182
