"","step","sound2","response","RT"
"1",1,"Sha",0,0.76919429
"2",1,"Sa",0.2,1.38765926
"3",1,"Single",0,0.66228175
"4",2,"Sha",0,1.01225059
"5",2,"Sa",0.1,1.8543767
"6",2,"Single",0.2,0.84767873
"7",3,"Sha",0.2,1.61892758
"8",3,"Sa",0.8,1.60781441
"9",3,"Single",0.6,0.67399664
"10",4,"Sha",0.8,0.84424069
"11",4,"Sa",0.9,0.72431075
"12",4,"Single",1,0.51542201
"13",5,"Sha",0.9,0.91260361
"14",5,"Sa",1,0.87528349
"15",5,"Single",1,0.70508929
"16",6,"Sha",1,0.84046135
"17",6,"Sa",1,1.56421031
"18",6,"Single",0.9,0.70310551
"19",7,"Sha",0.6,0.77284737
"20",7,"Sa",0.9,0.6144441
"21",7,"Single",0.9,0.58814169
