"","step","sound2","response","RT"
"1",1,"Sa",0.5,1.88710166
"2",1,"Sha",0.4,1.38532909
"3",1,"Single",0.2,0.70134448
"4",2,"Sa",0.5,2.12338289
"5",2,"Sha",0.4,2.89688302093
"6",2,"Single",0.5,1.05914678
"7",3,"Sa",0.5,1.03456402909
"8",3,"Sha",0.1,1.78359998
"9",3,"Single",0.7,0.8626824
"10",4,"Sa",0.7,1.93891209
"11",4,"Sha",0.6,1.33166195
"12",4,"Single",0.4,0.656204485
"13",5,"Sa",0.5,1.77484371
"14",5,"Sha",0.8,0.9112332
"15",5,"Single",0.5,0.7179192378
"16",6,"Sa",0.9,1.33069529
"17",6,"Sha",0.7,0.96036986
"18",6,"Single",0.5,0.5000047
"19",7,"Sa",0.7,1.17141476
"20",7,"Sha",0.9,1.04990141
"21",7,"Single",0.5,1.083590933
