"","step","sound2","response","RT"
"1",1,"Ba",0.4,0.75896086
"2",1,"Da",0.4,1.88073293
"3",1,"Single",0.3,1.05668521
"4",2,"Ba",0.4,1.3259326289
"5",2,"Da",0.6,1.5242432
"6",2,"Single",0.4,0.5475521
"7",3,"Ba",0,0.6582185
"8",3,"Da",0.6,1.17211791
"9",3,"Single",0.5,0.7577399411
"10",4,"Ba",0.6,1.20530059
"11",4,"Da",0.8,0.8956788
"12",4,"Single",0.5,0.84137178298
"13",5,"Ba",0.3,0.69438168397
"14",5,"Da",0.6,1.00409811
"15",5,"Single",0.7,0.60531216
"16",6,"Ba",0.6,0.76240450939
"17",6,"Da",0.6,1.14591072
"18",6,"Single",0.5,0.84388179903
"19",7,"Ba",0.3,0.72136109
"20",7,"Da",0.6,2.30490098299
"21",7,"Single",0.9,1.31774403
