SubjectID,width,sound2,threshold,slope,lapse,guess,eta,deviance,residuals,loglikelihood
IB263,0.500000,Ba,4.863910,1.441465,0.061393,0.049093,0.000000,1.870492,0.010432,27.796628
IB263,0.500000,Da,3.784102,3.355505,0.091654,0.034761,0.000000,3.844376,0.020410,19.111962
IB263,0.500000,Single,4.297116,1.725203,0.000059,0.000000,0.001725,1.117445,0.004428,18.235800
