SubjectID,width,sound2,threshold,slope,lapse,guess,eta,deviance,residuals,loglikelihood
KB396,0.150000,Sa,4.203114,3.074232,0.043474,0.068062,0.000000,6.587780,0.035579,18.235800
KB396,0.150000,Sha,3.508256,3.461365,0.029969,0.042278,0.000000,4.868378,0.024104,13.003319
KB396,0.150000,Single,3.622578,3.170384,0.000001,0.037726,0.000000,1.893146,0.008382,11.505684
