SubjectID,width,sound2,threshold,slope,lapse,guess,eta,deviance,residuals,loglikelihood
HB617,0.450000,Ba,6.900444,3.120630,0.000000,0.198469,0.000001,3.302607,0.052551,34.835637
HB617,0.450000,Da,6.321857,0.753892,0.000182,0.183308,0.000000,1.175961,0.025207,41.092302
HB617,0.450000,Single,4.369685,2.998476,0.047346,0.419118,0.000000,5.278528,0.092504,32.098744
